&	SYM	Abbr=Yes
%	SYM	Abbr=Yes
$	SYM	Abbr=Yes
#	SYM	Abbr=Yes
@	SYM	Abbr=Yes
~	SYM	Abbr=Yes
£	SYM	Abbr=Yes
§	SYM	Abbr=Yes
#	SYM	Abbr=Yes
·	PUNCT	Abbr=Yes
§	SYM	Abbr=Yes
+	SYM	Abbr=Yes
…	PUNCT	Abbr=Yes
•	PUNCT	Abbr=Yes
083*1012	NUM	Abbr=Yes
11°	SYM	Abbr=Yes
~120	NUM	Abbr=Yes
123I SYM		Abbr=Yes
2x20	SYM	Abbr=Yes
340B	SYM	Abbr=Yes
3C175	SYM	Abbr=Yes
3C204	SYM	Abbr=Yes
3C219	SYM	Abbr=Yes
3C263	SYM	Abbr=Yes
3C295	SYM	Abbr=Yes
3C31	SYM	Abbr=Yes
3D	SYM	Abbr=Yes
46XX[96%	SYM	Abbr=Yes
4AD	SYM	Abbr=Yes
5$	SYM	Abbr=Yes
5976*1027	NUM	Abbr=Yes
5H2O	SYM	Abbr=Yes
6B	SYM	Abbr=Yes
80'ndate ADJ	ADVegree=Pos	Abbr=Yes
9$	SYM	Abbr=Yes
9-10X	SYM	Abbr=Yes
9qhq+	SYM	Abbr=Yes
A	SYM	Abbr=Yes
A.	PROPN	Abbr=Yes
a	NOUN	Abbr=Yes
á	X	Abbr=Yes
A8	SYM	Abbr=Yes
AA	SYM	Abbr=Yes
A.A	NOUN	Abbr=Yes
aavo.kokk@ekspress.ee	SYM	Abbr=Yes
AB	SYM	Abbr=Yes
ABC	SYM	Abbr=Yes
ABS	SYM	Abbr=Yes
AC	SYM	Abbr=Yes
AchE	SYM	Abbr=Yes
ADCAP	SYM	Abbr=Yes
aet.syvari@ekspress.ee	SYM	Abbr=Yes
AG	PROPN	Abbr=Yes
AGE	PROPN	Abbr=Yes
AH	PROPN	Abbr=Yes
AK	PROPN	Abbr=Yes
AKE	PROPN	Abbr=Yes
AL	PROPN	Abbr=Yes
A.-L.	PROPN	Abbr=Yes
al	X	Abbr=Yes
al.	X	Abbr=Yes
ALH	PROPN	Abbr=Yes
anne@ekspress.ee	SYM	Abbr=Yes
ANSI/IEEE S	PROPN	Abbr=Yes
ANSV	PROPN	Abbr=Yes
AP S	PROPN	Abbr=Yes
ARB	PROPN	Abbr=Yes
arne@ekspress.ee	SYM	Abbr=Yes
ARPA	PROPN	Abbr=Yes
AS	PROPN	Abbr=Yes
ASK	PROPN	Abbr=Yes
ASN	PROPN	Abbr=Yes
at	X	Abbr=Yes
ATL	PROPN	Abbr=Yes
ATS	PROPN	Abbr=Yes
AV	PROPN	Abbr=Yes
A.W	PROPN	Abbr=Yes
AVRO	PROPN	Abbr=Yes
B	SYM	Abbr=Yes
B.	PROPN	Abbr=Yes
b	SYM	Abbr=Yes
B4	PROPN	Abbr=Yes
B92	PROPN	Abbr=Yes
BB	PROPN	Abbr=Yes
BBB	PROPN	Abbr=Yes
BBC	PROPN	Abbr=Yes
BC	PROPN	Abbr=Yes
B,C,D,E	SYM	Abbr=Yes
BDG	PROPN	Abbr=Yes
BG	PROPN	Abbr=Yes
BICO	PROPN	Abbr=Yes
birgit@ekspress.ee	SYM	Abbr=Yes
BK	PROPN	Abbr=Yes
BMF	PROPN	Abbr=Yes
BMG	PROPN	Abbr=Yes
BMW	PROPN	Abbr=Yes
BNP	PROPN	Abbr=Yes
BNS	PROPN	Abbr=Yes
bodybalan-ce	X	Abbr=Yes
BSE	PROPN	Abbr=Yes
buss.tartu.ee	SYM	Abbr=Yes
C	SYM	Abbr=Yes
°C	SYM	Abbr=Yes
C.	SYM	Abbr=Yes
c	SYM	Abbr=Yes
ç	SYM	Abbr=Yes
ç·	SYM	Abbr=Yes
C18:2n-6	SYM	Abbr=Yes
C18:3n-3	SYM	Abbr=Yes
C18:3n-3 	SYM	Abbr=Yes
C18:3n-6	SYM	Abbr=Yes
C18:4n-3	SYM	Abbr=Yes
C20:2n-6	SYM	Abbr=Yes
C20:3n-6 	SYM	Abbr=Yes
C20:4n-6	SYM	Abbr=Yes
C20:5n-3	SYM	Abbr=Yes
C22	SYM	Abbr=Yes
C22:4n-6	SYM	Abbr=Yes
C22:5n-3	SYM	Abbr=Yes
C22:5n-6	SYM	Abbr=Yes
C22:6n-3	SYM	Abbr=Yes
C2:4n-6	SYM	Abbr=Yes
C2H5OH	SYM	Abbr=Yes
C4	SYM	Abbr=Yes
C5	SYM	Abbr=Yes
ca	X	Abbr=Yes
CADASIL	PROPN	Abbr=Yes
CAUCE	PROPN	Abbr=Yes
CC	PROPN	Abbr=Yes
CD	NOUN	Abbr=Yes
CDU	PROPN	Abbr=Yes
CEN/ISS	PROPN	Abbr=Yes
CFG	PROPN	Abbr=Yes
cGMP	PROPN	Abbr=Yes
CH3-(CH2)3-(CH2CH=CH)4-(CH2)3-COOH	SYM	Abbr=Yes
CH3-(CH2)4-CH=CH-CH2-CH=CH-(CH2)7-COOH	SYM	Abbr=Yes
CH3(CH2)7CH=CH(CH2)7COOH	SYM	Abbr=Yes
CIA	PROPN	Abbr=Yes
cl	NOUN	Abbr=Yes
cm	NOUN	Abbr=Yes
CMEM	PROPN	Abbr=Yes
CMP	PROPN	Abbr=Yes
CNN	PROPN	Abbr=Yes
CO	SYM	Abbr=Yes
Co	NOUN	Abbr=Yes
CO2	SYM	Abbr=Yes
COB	PROPN	Abbr=Yes
CPU	PROPN	Abbr=Yes
CQL	PROPN	Abbr=Yes
CRISP-DM	PROPN	Abbr=Yes
C.S	PROPN	Abbr=Yes
CSCL	PROPN	Abbr=Yes
CSS	PROPN	Abbr=Yes
CSU	PROPN	Abbr=Yes
CuSO4	SYM	Abbr=Yes
CX	PROPN	Abbr=Yes
D	SYM	Abbr=Yes
D.	PROPN	Abbr=Yes
d	SYM	Abbr=Yes
D4	SYM	Abbr=Yes
D66	SYM	Abbr=Yes
D7.2	SYM	Abbr=Yes
Da	X	Abbr=Yes
DARPA	PROPN	Abbr=Yes
DD	PROPN	Abbr=Yes
DDR	PROPN	Abbr=Yes
De	PROPN	Abbr=Yes
de	PROPN	Abbr=Yes
dengi	X	Abbr=Yes
dets	NOUN	Abbr=Yes
DHA	PROPN	Abbr=Yes
DJ	NOUN	Abbr=Yes
dl	NOUN	Abbr=Yes
DMCA	PROPN	Abbr=Yes
dme.mozarteum.at	SYM	Abbr=Yes
DNA	NOUN	Abbr=Yes
DO	PROPN	Abbr=Yes
do	X	Abbr=Yes
DOC	PROPN	Abbr=Yes
DOCG	PROPN	Abbr=Yes
DPA	PROPN	Abbr=Yes
Dr	NOUN	Abbr=Yes
dr	NOUN	Abbr=Yes
DRM	PROPN	Abbr=Yes
DS	PROPN	Abbr=Yes
DVD	NOUN	Abbr=Yes
DVR	NOUN	Abbr=Yes
E SYM		Abbr=Yes
E.	PROPN	Abbr=Yes
e	CCONJ	Abbr=Yes
E250D	SYM	Abbr=Yes
E4	SYM	Abbr=Yes
EAKL	PROPN	Abbr=Yes
EAL	PROPN	Abbr=Yes
EBRD	PROPN	Abbr=Yes
ECP	PROPN	Abbr=Yes
Ed	X	Abbr=Yes
ed	X	Abbr=Yes
EE	PROPN	Abbr=Yes
ee	SYM	Abbr=Yes
.ee	SYM	Abbr=Yes
EEG	PROPN	Abbr=Yes
EEK	SYM	Abbr=Yes
eellas-PE	PROPN	Abbr=Yes
EEPROM	PROPN	Abbr=Yes
EFF	PROPN	Abbr=Yes
